stamp_sec,stamp_nsec,record_time_ns,frame_id,width,height,point_count,group_count,degenerate_group_count,tcp_frame_found,tcp_points_match,max_point_error
10427,76876081,10427132468830,world,28,1,28,7,1,True,True,0.0
10427,177206799,10427240147507,world,40,1,40,10,1,True,True,0.0
10427,276906351,10427332691892,world,28,1,28,7,1,True,True,0.0
10427,376903111,10427431203193,world,20,1,20,5,1,True,True,0.0
10427,477276121,10427531588161,world,28,1,28,7,1,True,True,0.0
10427,576911214,10427627948421,world,40,1,40,10,1,True,True,0.0
10427,676977974,10427740285307,world,32,1,32,8,1,True,True,0.0
10427,777117068,10427833083150,world,32,1,32,8,1,True,True,0.0
10427,877090203,10427919025659,world,32,1,32,8,1,True,True,0.0
10427,976911671,10428032866962,world,32,1,32,8,1,True,True,0.0
10428,77009931,10428136560306,world,36,1,36,9,1,True,True,0.0
10428,176937858,10428219295356,world,20,1,20,5,1,True,True,0.0
10428,276992951,10428332580159,world,36,1,36,9,1,True,True,0.0
10428,376915920,10428466755880,world,36,1,36,9,1,True,True,0.0
10428,477123846,10428538845388,world,20,1,20,5,1,True,True,0.0
10428,576991106,10428639992190,world,32,1,32,8,1,True,True,0.0
10428,676939158,10428741088825,world,36,1,36,9,1,True,True,0.0
10428,776881377,10428817653666,world,32,1,32,8,1,True,True,0.0
10428,876955137,10428941613178,world,20,1,20,5,1,True,True,0.0
10428,976907563,10429018406978,world,16,1,16,4,1,True,True,0.0
10429,77433115,10429139389448,world,28,1,28,7,1,True,True,0.0
10429,177104375,10429219909873,world,28,1,28,7,1,True,True,0.0
10429,276962010,10429332456176,world,32,1,32,8,1,True,True,0.0
10429,376876812,10429431589894,world,28,1,28,7,1,True,True,0.0
10429,477021447,10429518121861,world,32,1,32,8,1,True,True,0.0
10429,576988457,10429631943914,world,20,1,20,5,1,True,True,0.0
10429,677086425,10429721626465,world,20,1,20,5,1,True,True,0.0
10429,776924227,10429821121267,world,28,1,28,7,1,True,True,0.0
10429,877290820,10429931500486,world,28,1,28,7,1,True,True,0.0
