cell_index,x_index,y_index,x_m,y_m,elevation_observations,elevation_median,slope_observations,slope_median,accessibility_observations,accessibility_median
244,44,2,0.16500000000000004,1.425,0,nan,142,0.0,142,0.0
245,45,2,0.135,1.425,0,nan,142,0.0,142,0.0
246,46,2,0.10499999999999998,1.425,0,nan,142,0.0,142,0.0
247,47,2,0.07499999999999996,1.425,0,nan,142,0.0,142,0.0
248,48,2,0.04500000000000015,1.425,0,nan,142,0.0,142,0.0
249,49,2,0.015000000000000124,1.425,0,nan,142,0.0,142,0.0
250,50,2,-0.014999999999999902,1.425,0,nan,142,0.0,142,0.0
251,51,2,-0.04499999999999993,1.425,0,nan,142,0.0,142,0.0
252,52,2,-0.07499999999999996,1.425,0,nan,142,0.0,142,0.0
253,53,2,-0.10499999999999998,1.425,0,nan,142,0.0,142,0.0
254,54,2,-0.135,1.425,0,nan,142,0.0,142,0.0
255,55,2,-0.16500000000000004,1.425,0,nan,142,0.0,142,0.0
256,56,2,-0.19499999999999984,1.425,0,nan,142,0.0,142,0.0
257,57,2,-0.22499999999999987,1.425,0,nan,142,0.0,142,0.0
258,58,2,-0.2549999999999999,1.425,0,nan,142,0.0,142,0.0
259,59,2,-0.2849999999999999,1.425,0,nan,142,0.0,142,0.0
260,60,2,-0.31499999999999995,1.425,0,nan,142,0.0,142,0.0
261,61,2,-0.345,1.425,0,nan,142,0.0,142,0.0
262,62,2,-0.375,1.425,0,nan,142,0.0,142,0.0
263,63,2,-0.405,1.425,0,nan,142,0.0,142,0.0
264,64,2,-0.43499999999999983,1.425,0,nan,142,0.0,142,0.0
265,65,2,-0.46499999999999986,1.425,0,nan,142,0.0,142,0.0
266,66,2,-0.4949999999999999,1.425,0,nan,142,0.0,142,0.0
267,67,2,-0.5249999999999999,1.425,0,nan,142,0.0,142,0.0
268,68,2,-0.5549999999999997,1.425,0,nan,142,0.0,142,0.0
269,69,2,-0.585,1.425,0,nan,142,0.0,142,0.0
270,70,2,-0.6149999999999998,1.425,0,nan,142,0.0,142,0.0
271,71,2,-0.645,1.425,0,nan,142,0.0,142,0.0
