reading from file /home/ysc/x30_gridmap_captures/20260714_142726_mode3_flat_20260714_142726.pcap, link-type EN10MB (Ethernet)
2026-07-14 14:27:32.080790 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:32.181088 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:32.181493 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:32.279957 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:32.280383 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 14:27:32.376462 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:32.376812 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:32.484941 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:32.485316 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 14:27:32.582445 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:32.582938 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:32.663730 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:32.664197 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:32.764493 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:32.764898 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 14:27:32.879620 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:32.880019 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:32.965135 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:32.965587 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
2026-07-14 14:27:33.088354 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:33.088752 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 14:27:33.161377 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:33.161738 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:33.277456 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:33.277860 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:33.367876 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:33.368280 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:33.465852 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:33.466283 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:33.580573 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:33.580980 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 14:27:33.663849 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:33.664246 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:33.778353 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:33.778757 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 14:27:33.861132 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:33.861530 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 14:27:33.983822 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:33.984231 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 14:27:34.064042 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:34.064461 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 14:27:34.179153 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:34.179611 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 14:27:34.277642 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:34.278125 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
2026-07-14 14:27:34.362763 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:34.363166 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
