reading from file /home/ysc/x30_gridmap_captures/20260714_132556_factory_idle.pcap, link-type EN10MB (Ethernet)
2026-07-14 13:26:04.163557 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:04.163989 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:04.321975 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:04.322353 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 13:26:04.381313 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:04.381686 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:04.477112 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:04.477443 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:04.577671 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:04.578071 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:04.708663 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:04.709091 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:04.767268 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:04.767673 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:04.883215 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:04.883590 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:04.961982 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:04.962422 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:05.113687 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:05.114098 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 13:26:05.163096 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:05.163437 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:05.261495 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
