reading from file /home/ysc/x30_gridmap_captures/20260714_153211_mode3_object_probe.pcap, link-type EN10MB (Ethernet)
2026-07-14 15:32:15.584831 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:15.661884 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:15.662307 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 15:32:15.765939 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:15.766347 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:15.878136 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:15.878568 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 15:32:15.964116 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:15.964577 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:16.102486 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:16.102912 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 15:32:16.183067 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:16.183477 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:16.265383 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:16.265837 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:16.366510 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:16.366902 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:32:16.465742 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:16.466138 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:16.578596 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:16.578968 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:16.678620 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:16.679048 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:16.765492 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:16.765919 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:32:16.898875 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:16.899361 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:16.987122 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:16.987505 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:17.064385 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:17.064741 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:17.180454 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:17.180810 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:17.280387 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:17.280764 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:17.386965 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:17.387302 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 712
2026-07-14 15:32:17.478217 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:17.478687 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:17.564946 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:17.565359 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:17.664360 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:17.664784 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:17.762327 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:17.762735 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:17.863587 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:17.863980 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:17.977406 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:17.977947 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:18.083619 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:18.084017 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:32:18.185612 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
