reading from file /home/ysc/x30_gridmap_captures/20260714_150324_mode3_known_step.pcap, link-type EN10MB (Ethernet)
2026-07-14 15:03:28.977456 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:29.082667 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:29.083070 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:29.164559 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:29.165008 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 15:03:29.286113 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:29.286461 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
2026-07-14 15:03:29.379708 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:29.380029 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
2026-07-14 15:03:29.480332 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:29.480756 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:29.579434 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:29.579778 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:03:29.666939 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:29.667328 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:03:29.766436 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:29.766810 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 568
2026-07-14 15:03:29.869809 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:29.870227 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:03:29.963531 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:29.963949 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:03:30.068913 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:30.069339 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:03:30.165799 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:30.166142 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:30.284765 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:30.285125 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
