reading from file /home/ysc/x30_gridmap_captures/20260714_160857_mode3_measured_step_h022_d029_w035.pcap, link-type EN10MB (Ethernet)
2026-07-14 16:09:02.785976 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:02.786390 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:02.869721 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:02.870132 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:02.964667 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:02.965075 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 16:09:03.080792 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:03.081189 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:03.204355 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:03.204766 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:03.276136 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:03.276566 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 16:09:03.366808 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:03.367178 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:03.463549 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:03.463986 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 16:09:03.583152 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:03.583563 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:03.687643 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:03.688051 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:03.786861 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:03.787294 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:03.899141 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:03.899544 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:03.979433 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:03.979830 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:04.067124 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:04.067526 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:04.177812 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:04.178186 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:04.283390 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:04.283803 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:04.368663 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:04.369015 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 16:09:04.467180 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:04.467629 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:04.567547 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:04.567955 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:04.680113 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:04.680565 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:04.768226 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:04.768659 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:04.865550 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:04.865992 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:04.980940 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:04.981294 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:05.067537 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:05.067884 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:05.179012 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:05.179425 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:05.306551 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:05.306955 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 16:09:05.386242 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:05.386669 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 16:09:05.484449 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:05.484791 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 16:09:05.578900 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:05.579310 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:05.711061 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:05.711471 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:05.778659 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:05.778998 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:05.870072 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:05.870445 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:05.965771 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:05.966079 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:06.064484 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:06.064849 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 568
2026-07-14 16:09:06.162799 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:06.163207 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:06.267920 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:06.268261 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:06.379978 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:06.380334 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:06.465968 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:06.466327 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:06.566617 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:06.567004 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:06.667283 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:06.667709 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:06.788356 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:06.788891 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:06.865298 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:06.865712 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:06.963864 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:06.964280 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 616
2026-07-14 16:09:07.079431 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:07.079830 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:07.173115 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:07.173529 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:07.279243 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:07.279616 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:07.377901 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:07.378260 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:07.462438 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:07.462857 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:07.566336 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:07.566692 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:07.678171 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:07.678525 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 664
2026-07-14 16:09:07.778066 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:07.778413 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
