stamp_sec,stamp_nsec,record_time_ns,frame_id,width,height,point_count,group_count,degenerate_group_count,tcp_frame_found,tcp_points_match,max_point_error
6495,476998921,6495517912960,world,16,1,16,4,1,True,True,0.0
6495,576922764,6495651283390,world,16,1,16,4,1,True,True,0.0
6495,676984275,6495716770730,world,36,1,36,9,1,True,True,0.0
6495,777033243,6495820056616,world,12,1,12,3,1,True,True,0.0
6495,876909253,6495919031084,world,16,1,16,4,1,True,True,0.0
6495,976930513,6496039576929,world,20,1,20,5,1,True,True,0.0
6496,76978023,6496118499896,world,20,1,20,5,1,True,True,0.0
6496,176932491,6496234433324,world,20,1,20,5,1,True,True,0.0
6496,276919335,6496335491751,world,20,1,20,5,1,True,True,0.0
6496,377093137,6496433426427,world,16,1,16,4,1,True,True,0.0
6496,476953688,6496532739229,world,24,1,24,6,1,True,True,0.0
6496,577081698,6496620254113,world,24,1,24,6,1,True,True,0.0
6496,677078167,6496720325248,world,24,1,24,6,1,True,True,0.0
6496,776979843,6496823407841,world,20,1,20,5,1,True,True,0.0
